"","set_operation_latency altfp_divide_16","set_resource_constraint signed_divide_16","set_operation_latency mem_dual_port","set_operation_latency altfp_truncate_16","set_resource_constraint altfp_multiply_64","set_parameter NO_ROMS","set_resource_constraint signed_multiply_8","set_operation_latency altfp_fptosi","set_resource_constraint unsigned_modulus_16","set_resource_constraint unsigned_multiply_32","set_resource_constraint altfp_add_8","set_operation_latency unsigned_multiply_32","set_resource_constraint unsigned_add_32","set_operation_latency unsigned_divide_16","set_resource_constraint signed_multiply_16","set_operation_latency signed_modulus_32","set_operation_latency signed_multiply_32","set_operation_latency altfp_add_64","set_operation_latency altfp_subtract_32","set_parameter PS_MIN_SIZE","set_resource_constraint altfp_add_64","set_operation_latency altfp_multiply_64","set_operation_latency unsigned_multiply_8","set_operation_latency unsigned_add_32","set_operation_latency altfp_truncate_8","set_resource_constraint signed_multiply_64","set_operation_latency signed_divide_64","set_resource_constraint altfp_subtract_16","set_parameter MB_MINIMIZE_HW","set_parameter PATTERN_SHARE_ADD","set_resource_constraint signed_add_16","set_parameter MULTIPLIER_NO_CHAIN","set_resource_constraint unsigned_multiply_8","set_operation_latency reg","set_operation_latency unsigned_modulus_64","set_resource_constraint unsigned_divide_16","set_resource_constraint unsigned_divide_64","set_resource_constraint signed_divide_8","set_operation_latency altfp_extend_32","set_resource_constraint altfp_add_16","set_resource_constraint signed_modulus_32","set_parameter DONT_CHAIN_GET_ELEM_PTR","set_resource_constraint unsigned_modulus_64","set_operation_latency unsigned_modulus_8","set_resource_constraint mem_dual_port","set_parameter SDC_MULTIPUMP","set_operation_latency signed_multiply_16","set_operation_latency altfp_multiply_16","set_operation_latency unsigned_modulus_16","set_resource_constraint altfp_subtract_64","set_operation_latency signed_add_8","set_operation_latency unsigned_add_16","set_parameter PATTERN_SHARE_SUB","set_parameter CLOCK_PERIOD","set_resource_constraint altfp_subtract_8","set_parameter NO_LOOP_PIPELINING","set_operation_latency altfp_divide_64","set_parameter INCREMENTAL_SDC","set_operation_latency signed_divide_8","set_resource_constraint altfp_multiply_8","set_resource_constraint unsigned_multiply_16","set_operation_latency signed_modulus_64","set_operation_latency unsigned_multiply_64","set_resource_constraint unsigned_multiply_64","set_operation_latency signed_add_32","set_parameter DISABLE_REG_SHARING","set_operation_latency unsigned_divide_64","set_resource_constraint unsigned_modulus_8","set_combine_basicblock","set_parameter ENABLE_PATTERN_SHARING","set_parameter PIPELINE_RESOURCE_SHARING","set_parameter MULTIPUMPING","set_resource_constraint signed_add_32","set_operation_latency altfp_add_32","set_resource_constraint altfp_divide_64","set_operation_latency signed_modulus_8","set_parameter PIPELINE_ALL","set_parameter SDC_NO_CHAINING","set_resource_constraint altfp_add_32","set_parameter PS_MIN_WIDTH","set_operation_latency altfp_subtract_8","set_operation_latency signed_multiply_8","set_operation_latency altfp_extend_64","set_operation_latency local_mem_dual_port","set_operation_latency altfp_subtract_64","set_resource_constraint signed_divide_32","set_resource_constraint signed_multiply_32","set_operation_latency signed_divide_16","set_operation_latency signed_multiply_64","set_parameter PATTERN_SHARE_BITOPS","set_resource_constraint signed_add_8","set_parameter SDC_PRIORITY","set_resource_constraint altfp_multiply_32","set_resource_constraint altfp_divide_16","set_resource_constraint signed_modulus_16","set_operation_latency signed_add_64","set_resource_constraint unsigned_modulus_32","set_operation_latency altfp_multiply_8","set_resource_constraint signed_modulus_64","set_operation_latency signed_comp_o","set_parameter PS_MAX_SIZE","set_operation_latency signed_comp_u","set_parameter DUAL_PORT_BINDING","set_resource_constraint unsigned_divide_32","set_operation_latency altfp_multiply_32","set_operation_latency altfp_add_16","set_operation_latency altfp_truncate_32","set_operation_latency unsigned_add_64","set_operation_latency signed_add_16","set_parameter PS_BIT_DIFF_THRESHOLD","set_operation_latency altfp_add_8","set_operation_latency altfp_divide_32","set_operation_latency altfp_sitofp","set_resource_constraint unsigned_add_64","set_resource_constraint signed_add_64","set_operation_latency signed_divide_32","set_parameter MODULO_SCHEDULER","set_resource_constraint unsigned_add_16","set_operation_latency altfp_divide_8","set_parameter EXPLICIT_LPM_MULTS","set_parameter MB_MAX_BACK_PASSES","set_operation_latency signed_modulus_16","set_operation_latency unsigned_multiply_16","set_operation_latency altfp_extend_8","set_operation_latency unsigned_divide_32","set_operation_latency altfp_subtract_16","set_resource_constraint unsigned_add_8","set_parameter PATTERN_SHARE_SHIFT","set_operation_latency unsigned_divide_8","set_resource_constraint altfp_multiply_16","set_resource_constraint altfp_divide_32","set_resource_constraint unsigned_divide_8","set_operation_latency altfp_truncate_64","set_operation_latency unsigned_modulus_32","set_operation_latency unsigned_add_8","set_operation_latency altfp_extend_16","set_resource_constraint altfp_divide_8","set_resource_constraint altfp_subtract_32","set_resource_constraint signed_modulus_8","set_resource_constraint signed_divide_64","set_resource_constraint shared_mem_dual_port","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"86","33","1","2","3","2","FALSE","1","6","1","1","1","1","1","1","1","1","1"," 4","14","1","1"," 5","1","1","3","1","0","8"," TRUE"," TRUE","1","FALSE","1","2","1","1","1","1","2","1","5"," TRUE","1","1","2","FALSE","1","11","0","1","1","2","TRUE","10","1","FALSE","64"," TRUE","1","1","1","1","0","3","1","FALSE","2","1","0"," TRUE","FALSE"," TRUE","1","14","1","1","FALSE"," TRUE","1","2"," 3","1","2","1","14","1","1","1","1","FALSE","3","TRUE","1","2","1","1","1","11","1","1"," 6","1","TRUE","1","11","14","3","1","1","10","14"," 3","8","1","1","6","SDC_BACKTRACKING","2","33","FALSE","-1","1","1","2","1","14","1","TRUE","1","2","1","1","3","2","1","2","1","1","1","4","1","Inf","1369","35.09","1","4","5091","0","0","1"
"87","33","1","2","3","2","FALSE","1","6","1","1","1","1","1","1","1","1","1"," 4","14","1","1"," 5","1","1","3","1","0","8"," TRUE"," TRUE","1","FALSE","1","2","1","1","1","1","2","1","5"," TRUE","1","1","2","FALSE","1","11","0","1","1","2","TRUE","10","1","FALSE","64"," TRUE","1","1","1","1","0","3","1","FALSE","2","1","0"," TRUE","FALSE"," TRUE","1","14","1","1","FALSE"," TRUE","1","2"," 3","1","2","1","14","1","1","1","1","FALSE","3","TRUE","1","2","1","1","1","11","1","1"," 6","1","TRUE","1","11","14","3","1","1","10","14"," 3","8","1","1","6","SDC_BACKTRACKING","2","33","FALSE","-1","1","1","2","1","14","1","TRUE","1","2","1","1","3","2","1","2","1","1","1","4","1","Inf","1369","35.09","1","4","5091","0","0","1"
"88","33","1","2","3","2","FALSE","1","6","1","1","1","1","1","1","1","1","1"," 4","14","1","1"," 5","1","1","3","1","0","8"," TRUE"," TRUE","1","FALSE","1","2","1","1","1","1","2","1","5"," TRUE","1","1","2","FALSE","1","11","0","1","1","2","TRUE","10","1","FALSE","64"," TRUE","1","1","1","1","0","3","1","FALSE","2","1","0"," TRUE","FALSE"," TRUE","1","14","1","1","FALSE"," TRUE","1","2"," 3","1","2","1","14","1","1","1","1","FALSE","3","TRUE","1","2","1","1","1","11","1","1"," 6","1","TRUE","1","11","14","3","1","1","10","14"," 3","8","1","1","6","SDC_BACKTRACKING","2","33","FALSE","-1","1","1","2","1","14","1","TRUE","1","2","1","1","3","2","1","2","1","1","1","4","1","0.919288594116","1369","35.09","1","4","5091","0","0","1"
"89","33","1","2","3","2","FALSE","1","6","1","1","1","1","1","1","1","1","1"," 4","14","1","1"," 5","1","1","3","1","0","8"," TRUE"," TRUE","1","FALSE","1","2","1","1","1","1","2","1","5"," TRUE","1","1","2","FALSE","1","11","0","1","1","2","TRUE","10","1","FALSE","64"," TRUE","1","1","1","1","0","3","1","FALSE","2","1","0"," TRUE","FALSE"," TRUE","1","14","1","1","FALSE"," TRUE","1","2"," 3","1","2","1","14","1","1","1","1","FALSE","3","TRUE","1","2","1","1","1","11","1","1"," 6","1","TRUE","1","11","14","3","1","1","10","14"," 3","8","1","1","6","SDC_BACKTRACKING","2","33","FALSE","-1","1","1","2","1","14","1","TRUE","1","2","1","1","3","2","1","2","1","1","1","4","1","Inf","1369","35.09","1","4","5091","0","0","1"
"90","33","1","2","3","2","FALSE","1","6","1","1","1","1","1","1","1","1","1"," 4","14","1","1"," 5","1","1","3","1","0","8"," TRUE"," TRUE","1","FALSE","1","2","1","1","1","1","2","1","5"," TRUE","1","1","2","FALSE","1","11","0","1","1","2","TRUE","10","1","FALSE","64"," TRUE","1","1","1","1","0","3","1","FALSE","2","1","0"," TRUE","FALSE"," TRUE","1","14","1","1","FALSE"," TRUE","1","2"," 3","1","2","1","14","1","1","1","1","FALSE","3","TRUE","1","2","1","1","1","11","1","1"," 6","1","TRUE","1","11","14","3","1","1","10","14"," 3","8","1","1","6","SDC_BACKTRACKING","2","33","FALSE","-1","1","1","2","1","14","1","TRUE","1","2","1","1","3","2","1","2","1","1","1","4","1","0.919790712229","1369","35.09","1","4","5091","0","0","1"
"91","33","1","2","3","2","FALSE","1","6","1","1","1","1","1","1","1","1","1"," 4","14","1","1"," 5","1","1","3","1","0","8"," TRUE"," TRUE","1","FALSE","1","2","1","1","1","1","2","1","5"," TRUE","1","1","2","FALSE","1","11","0","1","1","2","TRUE","10","1","FALSE","64"," TRUE","1","1","1","1","0","3","1","FALSE","2","1","0"," TRUE","FALSE"," TRUE","1","14","1","1","FALSE"," TRUE","1","2"," 3","1","2","1","14","1","1","1","1","FALSE","3","TRUE","1","2","1","1","1","11","1","1"," 6","1","TRUE","1","11","14","3","1","1","10","14"," 3","8","1","1","6","SDC_BACKTRACKING","2","33","FALSE","-1","1","1","2","1","14","1","TRUE","1","2","1","1","3","2","1","2","1","1","1","4","1","0.644718200366","1369","35.09","1","4","5091","0","0","1"
"92","33","1","2","3","2","FALSE","1","6","1","1","1","1","1","1","1","1","1"," 4","14","1","1"," 5","1","1","3","1","0","8"," TRUE"," TRUE","1","FALSE","1","2","1","1","1","1","2","1","5"," TRUE","1","1","2","FALSE","1","11","0","1","1","2","TRUE","10","1","FALSE","64"," TRUE","1","1","1","1","0","3","1","FALSE","2","1","0"," TRUE","FALSE"," TRUE","1","14","1","1","FALSE"," TRUE","1","2"," 3","1","2","1","14","1","1","1","1","FALSE","3","TRUE","1","2","1","1","1","11","1","1"," 6","1","TRUE","1","11","14","3","1","1","10","14"," 3","8","1","1","6","SDC_BACKTRACKING","2","33","FALSE","-1","1","1","2","1","14","1","TRUE","1","2","1","1","3","2","1","2","1","1","1","4","1","Inf","1369","35.09","1","4","5091","0","0","1"
"93","33","1","2","3","2","FALSE","1","6","1","1","1","1","1","1","1","1","1"," 4","14","1","1"," 5","1","1","3","1","0","8"," TRUE"," TRUE","1","FALSE","1","2","1","1","1","1","2","1","5"," TRUE","1","1","2","FALSE","1","11","0","1","1","2","TRUE","10","1","FALSE","64"," TRUE","1","1","1","1","0","3","1","FALSE","2","1","0"," TRUE","FALSE"," TRUE","1","14","1","1","FALSE"," TRUE","1","2"," 3","1","2","1","14","1","1","1","1","FALSE","3","TRUE","1","2","1","1","1","11","1","1"," 6","1","TRUE","1","11","14","3","1","1","10","14"," 3","8","1","1","6","SDC_BACKTRACKING","2","33","FALSE","-1","1","1","2","1","14","1","TRUE","1","2","1","1","3","2","1","2","1","1","1","4","1","Inf","1369","35.09","1","4","5091","0","0","1"
"94","33","1","2","3","2","FALSE","1","6","1","1","1","1","1","1","1","1","1"," 4","14","1","1"," 5","1","1","3","1","0","8"," TRUE"," TRUE","1","FALSE","1","2","1","1","1","1","2","1","5"," TRUE","1","1","2","FALSE","1","11","0","1","1","2","TRUE","10","1","FALSE","64"," TRUE","1","1","1","1","0","3","1","FALSE","2","1","0"," TRUE","FALSE"," TRUE","1","14","1","1","FALSE"," TRUE","1","2"," 3","1","2","1","14","1","1","1","1","FALSE","3","TRUE","1","2","1","1","1","11","1","1"," 6","1","TRUE","1","11","14","3","1","1","10","14"," 3","8","1","1","6","SDC_BACKTRACKING","2","33","FALSE","-1","1","1","2","1","14","1","TRUE","1","2","1","1","3","2","1","2","1","1","1","4","1","Inf","1369","35.09","1","4","5091","0","0","1"
"95","33","1","2","3","2","FALSE","1","6","1","1","1","1","1","1","1","1","1"," 4","14","1","1"," 5","1","1","3","1","0","8"," TRUE"," TRUE","1","FALSE","1","2","1","1","1","1","2","1","5"," TRUE","1","1","2","FALSE","1","11","0","1","1","2","TRUE","10","1","FALSE","64"," TRUE","1","1","1","1","0","3","1","FALSE","2","1","0"," TRUE","FALSE"," TRUE","1","14","1","1","FALSE"," TRUE","1","2"," 3","1","2","1","14","1","1","1","1","FALSE","3","TRUE","1","2","1","1","1","11","1","1"," 6","1","TRUE","1","11","14","3","1","1","10","14"," 3","8","1","1","6","SDC_BACKTRACKING","2","33","FALSE","-1","1","1","2","1","14","1","TRUE","1","2","1","1","3","2","1","2","1","1","1","4","1","Inf","1369","35.09","1","4","5091","0","0","1"
