"","First.Variable","Second.Variable","Correlation"
"677","set_parameter.MULTIPUMPING","Pins",-1
"236","set_operation_latency.local_mem_dual_port","Cycles",0.965725688618154
"1329","set_parameter.EXPLICIT_LPM_MULTS","DPS",0.885930810843975
"1353","FMax","DPS",-0.874768218736129
"423","set_parameter.EXPLICIT_LPM_MULTS","FMax",-0.837598436692884
"221","set_combine_basicblock","Cycles",0.782963719776038
"785","set_parameter.MB_MINIMIZE_HW","Regs",0.687980124961781
"1311","set_operation_latency.signed_comp_u","DPS",-0.686992964444054
"193","set_resource_constraint.signed_modulus_32","Cycles",0.665730521834252
"269","set_parameter.MODULO_SCHEDULER","Cycles",0.635483825130578
"837","set_operation_latency.altfp_subtract_8","Regs",0.628295713615844
"707","set_operation_latency.signed_comp_u","Pins",0.621806583625121
"821","set_operation_latency.signed_add_32","Regs",0.616383913952018
"1238","set_parameter.MB_MINIMIZE_HW","DPS",0.583713228574974
"757","set_operation_latency.altfp_divide_16","Regs",0.573163157860336
"647","set_parameter.DONT_CHAIN_GET_ELEM_PTR","Pins",-0.572110824255578
"344","set_resource_constraint.signed_modulus_32","FMax",0.567472559733761
"387","set_operation_latency.local_mem_dual_port","FMax",0.558673005614481
"1346","set_resource_constraint.altfp_divide_8","DPS",-0.556421824590307
"804","set_operation_latency.altfp_multiply_16","Regs",0.54906458637226
"446","Cycles","FMax",0.542165019250641
"813","set_operation_latency.altfp_divide_64","Regs",0.540230296704675
"822","set_parameter.DISABLE_REG_SHARING","Regs",0.527574433853358
"778","set_operation_latency.altfp_multiply_64","Regs",0.517318844454738
"405","set_operation_latency.signed_comp_u","FMax",0.514775757964181
"814","set_parameter.INCREMENTAL_SDC","Regs",0.511674196560324
"285","set_operation_latency.altfp_truncate_64","Cycles",-0.509874712725059
"611","set_parameter.NO_ROMS","Pins",-0.505260683523881
"643","set_resource_constraint.signed_divide_8","Pins",0.504152279633111
"636","set_resource_constraint.signed_add_16","Pins",0.499262518532225
"372","set_combine_basicblock","FMax",0.488525452355616
"1281","set_parameter.MULTIPUMPING","DPS",0.487654288826123
"1355","Pins","DPS",-0.487654288826123
"1251","set_parameter.DONT_CHAIN_GET_ELEM_PTR","DPS",0.476281946010868
"812","set_parameter.NO_LOOP_PIPELINING","Regs",0.47585552844909
"866","set_parameter.PS_BIT_DIFF_THRESHOLD","Regs",-0.475555967192018
"332","set_parameter.MB_MINIMIZE_HW","FMax",-0.470369626213316
"335","set_parameter.MULTIPLIER_NO_CHAIN","FMax",-0.46522935189273
"798","set_parameter.DONT_CHAIN_GET_ELEM_PTR","Regs",0.462693966142447
"175","set_operation_latency.unsigned_multiply_8","Cycles",0.459493013167735
"1290","set_operation_latency.altfp_subtract_8","DPS",0.454085211776309
"653","set_operation_latency.altfp_multiply_16","Pins",-0.447423786605065
"711","set_operation_latency.altfp_add_16","Pins",-0.445986267500982
"1330","set_parameter.MB_MAX_BACK_PASSES","DPS",-0.441506901193665
"723","set_resource_constraint.unsigned_add_16","Pins",0.439317714152865
"383","set_parameter.PS_MIN_WIDTH","FMax",0.438947764983705
"809","set_parameter.PATTERN_SHARE_SUB","Regs",0.433188894429481
"1335","set_operation_latency.altfp_subtract_16","DPS",0.432362796432029
"881","set_operation_latency.unsigned_divide_32","Regs",-0.431211053279366
"695","set_parameter.PATTERN_SHARE_BITOPS","Pins",-0.428842828779088
"893","set_resource_constraint.altfp_divide_8","Regs",-0.428409219938725
"429","set_operation_latency.altfp_subtract_16","FMax",-0.425042258245394
"1323","set_resource_constraint.unsigned_add_64","DPS",-0.423554562429211
"845","set_operation_latency.signed_multiply_64","Regs",0.423441591607842
"260","set_operation_latency.unsigned_add_64","Cycles",0.423398988774054
"830","set_operation_latency.altfp_add_32","Regs",0.416191273405711
"1302","set_resource_constraint.altfp_multiply_32","DPS",-0.410786910606746
"735","set_resource_constraint.altfp_multiply_16","Pins",0.409045835105249
"322","set_operation_latency.altfp_subtract_32","FMax",-0.408510248060887
"258","set_operation_latency.altfp_add_16","Cycles",-0.404137796537839
"859","set_parameter.DUAL_PORT_BINDING","Regs",0.403784025390609
"740","set_operation_latency.unsigned_add_8","Pins",0.400657580372107
"1265","set_parameter.NO_LOOP_PIPELINING","DPS",0.398420529764469
"1307","set_operation_latency.altfp_multiply_8","DPS",0.398090422928293
"826","set_parameter.ENABLE_PATTERN_SHARING","Regs",0.396602230577347
"1295","set_resource_constraint.signed_divide_32","DPS",-0.395272294009728
"805","set_operation_latency.unsigned_modulus_16","Regs",0.393540887534539
"876","set_parameter.EXPLICIT_LPM_MULTS","Regs",0.39245744614637
"841","set_operation_latency.altfp_subtract_64","Regs",0.389685836392941
"899","Cycles","Regs",0.389346022145523
"396","set_resource_constraint.altfp_multiply_32","FMax",0.388757739567535
"375","set_parameter.MULTIPUMPING","FMax",-0.387908241671165
"749","FMax","Pins",0.387908241671165
"424","set_parameter.MB_MAX_BACK_PASSES","FMax",0.387813313349491
"420","set_parameter.MODULO_SCHEDULER","FMax",0.386014100467259
"686","set_operation_latency.altfp_subtract_8","Pins",-0.380744469498335
"868","set_operation_latency.altfp_divide_32","Regs",0.378706424703142
"635","set_parameter.PATTERN_SHARE_ADD","Pins",-0.375562544152944
"345","set_parameter.DONT_CHAIN_GET_ELEM_PTR","FMax",-0.37505113808299
"323","set_parameter.PS_MIN_SIZE","FMax",0.372697884742932
"629","set_operation_latency.unsigned_add_32","Pins",0.371811825045469
"389","set_resource_constraint.signed_divide_32","FMax",0.369507914784033
"1270","set_resource_constraint.unsigned_multiply_16","DPS",-0.363487711957632
"1356","Regs","DPS",0.361247186675702
"882","set_operation_latency.altfp_subtract_16","Regs",0.357244874115332
"1241","set_parameter.MULTIPLIER_NO_CHAIN","DPS",0.354320877034435
"1219","set_resource_constraint.unsigned_multiply_32","DPS",-0.354209202319814
"334","set_resource_constraint.signed_add_16","FMax",0.353463981604523
"288","set_operation_latency.altfp_extend_16","Cycles",-0.353327645346231
"309","set_parameter.NO_ROMS","FMax",-0.352738294914029
"725","set_parameter.EXPLICIT_LPM_MULTS","Pins",-0.350760896508129
"388","set_operation_latency.altfp_subtract_64","FMax",-0.349931261543817
"689","set_operation_latency.local_mem_dual_port","Pins",0.347099850977985
"401","set_operation_latency.altfp_multiply_8","FMax",-0.345636914434185
"703","set_operation_latency.altfp_multiply_8","Pins",-0.344583500695781
"1303","set_resource_constraint.altfp_divide_16","DPS",-0.342481557564804
"391","set_operation_latency.signed_divide_16","FMax",0.341400318153516
"171","set_operation_latency.altfp_subtract_32","Cycles",-0.339088707433267
"1220","set_resource_constraint.altfp_add_8","DPS",-0.339006020440367
"1223","set_operation_latency.unsigned_divide_16","DPS",-0.331809988526803
"658","set_parameter.PATTERN_SHARE_SUB","Pins",-0.331750267842055
"183","set_resource_constraint.signed_add_16","Cycles",0.331554919332389
"885","set_operation_latency.unsigned_divide_8","Regs",0.329861552645868
"620","set_resource_constraint.signed_multiply_16","Pins",0.32885792138277
"1224","set_resource_constraint.signed_multiply_16","DPS",-0.327172657671469
"897","set_resource_constraint.shared_mem_dual_port","Regs",-0.326684034310771
"1226","set_operation_latency.signed_multiply_32","DPS",-0.325733973812659
"433","set_resource_constraint.altfp_multiply_16","FMax",0.324105713473979
"317","set_operation_latency.unsigned_divide_16","FMax",0.323469316731373
"829","set_resource_constraint.signed_add_32","Regs",-0.323168701082169
"1250","set_resource_constraint.signed_modulus_32","DPS",-0.322130158027496
"774","set_operation_latency.altfp_add_64","Regs",0.321524426990421
"827","set_parameter.PIPELINE_RESOURCE_SHARING","Regs",0.3211531263639
"1289","set_parameter.PS_MIN_WIDTH","DPS",-0.32035779423141
"367","set_resource_constraint.unsigned_multiply_64","FMax",0.319343232936741
"440","set_resource_constraint.altfp_divide_8","FMax",0.316285325638748
"282","set_resource_constraint.altfp_multiply_16","Cycles",0.315547694883387
"184","set_parameter.MULTIPLIER_NO_CHAIN","Cycles",-0.313902808963136
"1292","set_operation_latency.altfp_extend_64","DPS",0.313840578912064
"1240","set_resource_constraint.signed_add_16","DPS",-0.31380435905119
