"","First.Variable","Second.Variable","Correlation"
"368","set_operation_latency.signed_add_32","FMax",0.872604341756473
"821","set_operation_latency.signed_add_32","Regs",0.867082077590846
"852","set_operation_latency.signed_add_64","Regs",0.818958024195037
"399","set_operation_latency.signed_add_64","FMax",0.762656955408145
"318","set_resource_constraint.signed_multiply_16","FMax",-0.691177690016457
"771","set_resource_constraint.signed_multiply_16","Regs",-0.66874484730559
"353","set_resource_constraint.altfp_subtract_64","FMax",-0.664558224352257
"882","set_operation_latency.altfp_subtract_16","Regs",0.66277512916991
"191","set_operation_latency.altfp_extend_32","Cycles",0.661617680861038
"900","FMax","Regs",0.659490508481261
"432","set_operation_latency.unsigned_divide_8","FMax",-0.64177448572109
"367","set_resource_constraint.unsigned_multiply_64","FMax",-0.62554116502304
"338","set_operation_latency.unsigned_modulus_64","FMax",-0.620787772123225
"404","set_parameter.PS_MAX_SIZE","FMax",-0.618083943786505
"856","set_operation_latency.signed_comp_o","Regs",0.601769944044803
"425","set_operation_latency.signed_modulus_16","FMax",-0.59887097227198
"762","set_parameter.NO_ROMS","Regs",0.596705419854527
"775","set_operation_latency.altfp_subtract_32","Regs",0.59191349036508
"379","set_operation_latency.signed_modulus_8","FMax",-0.590631392772848
"806","set_resource_constraint.altfp_subtract_64","Regs",-0.589823815716421
"717","set_operation_latency.altfp_divide_32","Pins",-0.58815023797338
"397","set_resource_constraint.altfp_divide_16","FMax",-0.587315908264344
"441","set_resource_constraint.altfp_subtract_32","FMax",-0.587128768263973
"887","set_resource_constraint.altfp_divide_32","Regs",-0.580767148591054
"814","set_parameter.INCREMENTAL_SDC","Regs",0.579524149682266
"434","set_resource_constraint.altfp_divide_32","FMax",-0.57920893250341
"387","set_operation_latency.local_mem_dual_port","FMax",-0.579038812217333
"833","set_parameter.PIPELINE_ALL","Regs",0.576205124342123
"259","set_operation_latency.altfp_truncate_32","Cycles",0.570261045356081
"820","set_resource_constraint.unsigned_multiply_64","Regs",-0.570169223279095
"430","set_resource_constraint.unsigned_add_8","FMax",-0.569174167203737
"177","set_operation_latency.altfp_truncate_8","Cycles",0.567934950547141
"426","set_operation_latency.unsigned_multiply_16","FMax",-0.56696705693553
"894","set_resource_constraint.altfp_subtract_32","Regs",-0.566062125766532
"403","set_operation_latency.signed_comp_o","FMax",0.565452312043834
"211","set_operation_latency.signed_divide_8","Cycles",0.557213887470716
"634","set_parameter.MB_MINIMIZE_HW","Pins",-0.556291878682621
